,nB/n0,sigma field (MeV),omega field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),Neutron frac,Proton frac,electron frac
81,1.08000000,94.53532388,19.01452521,323.84940660,153.67119491,153.67119491,0.90347010,0.09652990,0.09652990
82,1.09000000,94.62160491,19.19058563,324.81478574,154.28195889,154.28195889,0.90321074,0.09678926,0.09678926
83,1.10000000,94.70629237,19.36664605,325.77470642,154.88683650,154.88683650,0.90295815,0.09704185,0.09704185
84,1.11000000,94.78943244,19.54270647,326.72924279,155.48596836,155.48596836,0.90271210,0.09728790,0.09728790
85,1.12000000,94.87106951,19.71876689,327.67846743,156.07949019,156.07949019,0.90247236,0.09752764,0.09752764
86,1.13000000,94.95124631,19.89482730,328.62245131,156.66753298,156.66753298,0.90223874,0.09776126,0.09776126
87,1.14000000,95.03000395,20.07088772,329.56126391,157.25022325,157.25022325,0.90201103,0.09798897,0.09798897
88,1.15000000,95.10738201,20.24694814,330.49497325,157.82768320,157.82768320,0.90178905,0.09821095,0.09821095
89,1.16000000,95.18341862,20.42300856,331.42364592,158.40003088,158.40003088,0.90157260,0.09842740,0.09842740
90,1.17000000,95.25815049,20.59906898,332.34734714,158.96738040,158.96738040,0.90136151,0.09863849,0.09863849
91,1.18000000,95.33161300,20.77512940,333.26614078,159.52984209,159.52984209,0.90115561,0.09884439,0.09884439
92,1.19000000,95.40384026,20.95118982,334.18008945,160.08752261,160.08752261,0.90095474,0.09904526,0.09904526
